filename,cik,company,filing_date,period_of_report,year,has_item_7,item_7_length,json_path
35214_10K_2016_0001562762-17-000028.json,35214,FERRO CORP,2017-03-01,2016-12-31,2016,True,70182,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/35214_10K_2016_0001562762-17-000028.json
3570_10K_2016_0000003570-17-000052.json,3570,CHENIERE ENERGY INC,2017-02-24,2016-12-31,2016,True,91951,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/3570_10K_2016_0000003570-17-000052.json
36029_10K_2016_0001193125-17-047421.json,36029,FIRST FINANCIAL BANKSHARES INC,2017-02-17,2016-12-31,2016,True,48843,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/36029_10K_2016_0001193125-17-047421.json
36047_10K_2016_0000036047-17-000011.json,36047,"CORELOGIC, INC.",2017-02-24,2016-12-31,2016,True,51327,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/36047_10K_2016_0000036047-17-000011.json
36104_10K_2016_0001193125-17-053947.json,36104,US BANCORP \DE\,2017-02-23,2016-12-31,2016,True,321,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/36104_10K_2016_0001193125-17-053947.json
36146_10K_2016_0001564590-17-001916.json,36146,TRUSTMARK CORP,2017-02-21,2016-12-31,2016,True,155519,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/36146_10K_2016_0001564590-17-001916.json
36270_10K_2016_0001564590-17-002016.json,36270,M&T BANK CORP,2017-02-22,2016-12-31,2016,True,202209,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/36270_10K_2016_0001564590-17-002016.json
36377_10K_2016_0001558370-17-001852.json,36377,"FIRST HAWAIIAN, INC.",2017-03-15,2016-12-31,2016,True,130106,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/36377_10K_2016_0001558370-17-001852.json
36506_10K_2016_0001558370-17-002286.json,36506,MACKINAC FINANCIAL CORP /MI/,2017-03-30,2016-12-31,2016,True,43088,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/36506_10K_2016_0001558370-17-002286.json
36840_10K_2016_0001174947-17-000045.json,36840,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,2017-01-13,2016-10-31,2016,True,69915,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/36840_10K_2016_0001174947-17-000045.json
36966_10K_2016_0000930413-17-000713.json,36966,FIRST HORIZON NATIONAL CORP,2017-02-27,2016-12-31,2016,True,514,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/36966_10K_2016_0000930413-17-000713.json
37008_10K_2016_0001193125-17-074717.json,37008,Winthrop Realty Liquidating Trust,2017-03-08,2016-12-31,2016,True,36296,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/37008_10K_2016_0001193125-17-074717.json
37634_10K_2016_0000753308-17-000060.json,37634,FLORIDA POWER & LIGHT CO,2017-02-23,2016-12-31,2016,True,97193,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/37634_10K_2016_0000753308-17-000060.json
37637_10K_2016_0001326160-17-000016.json,37637,"DUKE ENERGY FLORIDA, LLC.",2017-02-24,2016-12-31,2016,True,180895,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/37637_10K_2016_0001326160-17-000016.json
37637_10K_2016_0001669374-17-000017.json,37637,"DUKE ENERGY FLORIDA, LLC.",2017-03-31,2016-12-31,2016,True,96,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/37637_10K_2016_0001669374-17-000017.json
37785_10K_2016_0000037785-17-000011.json,37785,FMC CORP,2017-02-28,2016-12-31,2016,True,86568,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/37785_10K_2016_0000037785-17-000011.json
37808_10K_2016_0001193125-17-053369.json,37808,FNB CORP/PA/,2017-02-23,2016-12-31,2016,True,104000,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/37808_10K_2016_0001193125-17-053369.json
37996_10K_2016_0000037996-17-000013.json,37996,FORD MOTOR CO,2017-02-09,2016-12-31,2016,True,117579,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/37996_10K_2016_0000037996-17-000013.json
